BillingAccountId,BillingAccountName,BillingPeriodStartDate,BillingPeriodEndDate,BillingProfileId,BillingProfileName,AccountOwnerId,AccountName,SubscriptionId,SubscriptionName,Date,Product,PartNumber,MeterId,ServiceFamily,MeterCategory,MeterSubCategory,MeterName,MeterRegion,UnitOfMeasure,Quantity,EffectivePrice,Cost,CostInBillingCurrency,CostCenter,ResourceLocation,ConsumedService,ResourceId,ResourceName,ServiceName,ServiceTier,ResourceGroupName,ResourceType,PublisherType,PublisherName,ReservationId,ReservationName,ProductOrderId,ProductOrderName,OfferId,BenefitId,BenefitName,Term,CostAllocationRuleName,Tags,AdditionalInfo,ServiceInfo1,ServiceInfo2,PricingModel,ChargeType,Frequency,PricingCurrency
01A2B3-C4D5E6-F7G8H9,Billing Account 01A2B3-C,2025-03-01,2025-03-31,billing-profile-01A2B3-C,Enterprise Agreement,owner-44400005,SoftwareSolutions,00000000-0000-0000-0000-000444400005,SoftwareSolutions Production,2025-03-20,VirtualMachines,Part-2-6157,F3DB-E132-6157,Compute,VirtualMachines,Standard,Virtual Machines Compute Hours in uaecentral,uaecentral,Hour,1.0,2430.6560691816144,2430.6560691816144,2430.6560691816144,SoftwareSolutions-2091,uaecentral,Microsoft.Compute,/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,clo-api-test-v-ostq,VirtualMachines,Standard,clo-rg,Microsoft.Compute/virtualMachines,Microsoft,Microsoft,,,,,MS-AZR-0017P,AHB-53aeb180,Azure Hybrid Benefit,,,"{""name"": ""CloudAppSaaSBackend-VirtualMachines"", ""project"": ""CloudAppSaaSBackend"", ""business-unit"": ""SoftwareSolutions"", ""environment"": ""production"", ""cost-center"": ""SoftwareSolutions-2091"", ""use-case"": ""Software Solutions"", ""version"": ""1.0"", ""owner"": ""john.doe@example.com"", ""compliance-pci"": ""in-scope"", ""compliance-status"": ""exempted"", ""iac"": ""false"", ""deployment-group"": ""experiment"", ""optimization-priority"": ""performance"", ""scheduled-downtime"": ""custom"", ""allow-spot"": ""false"", ""image"": ""centos-7"", ""service-tier"": ""virtualmachines-standard"", ""team"": ""devops"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""SoftwareSolutions"", ""showback-category"": ""production""}","{""serviceInfo"": ""VirtualMachines Compute Hours"", ""resourceDetails"": {""resourceName"": ""clo-api-test-v-ostq"", ""region"": ""uaecentral"", ""resourceType"": ""Microsoft.Compute/virtualMachines""}, ""metricDetails"": {""meterName"": ""Virtual Machines Compute Hours in uaecentral"", ""meterCategory"": ""VirtualMachines"", ""unit"": ""Hour""}}",VirtualMachines Compute Hours,Virtual Machines Compute Hours in uaecentral,on_demand,Adjustment,Recurring,USD
01A2B3-C4D5E6-F7G8H9,Billing Account 01A2B3-C,2025-03-01,2025-03-31,billing-profile-01A2B3-C,Enterprise Agreement,owner-44400005,SoftwareSolutions,00000000-0000-0000-0000-000444400005,SoftwareSolutions Production,2025-03-20,VirtualMachines,Part-9-3D02,A5C7-B8E9-3D02,Compute,VirtualMachines,Standard,Virtual Machines OS Licenses in uaecentral,uaecentral,Hour,331963.23670515727,0.054678930967559006,18151.394903568744,18151.394903568744,SoftwareSolutions-2091,uaecentral,Microsoft.Compute,/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,clo-api-test-v-ostq,VirtualMachines,Standard,clo-rg,Microsoft.Compute/virtualMachines,Microsoft,Microsoft,RI-26ab6df6,Reserved Instance: 3 year,RI-Order-5326a3,Three Year Reserved Instance Purchase,MS-AZR-0017P,RI-26ab6df6,Reserved Instance: 3 year,P3Y,,"{""name"": ""CloudAppSaaSBackend-VirtualMachines"", ""project"": ""CloudAppSaaSBackend"", ""business-unit"": ""SoftwareSolutions"", ""environment"": ""production"", ""cost-center"": ""SoftwareSolutions-2091"", ""use-case"": ""Software Solutions"", ""version"": ""1.0"", ""owner"": ""john.doe@example.com"", ""compliance-pci"": ""in-scope"", ""compliance-status"": ""exempted"", ""iac"": ""false"", ""deployment-group"": ""experiment"", ""optimization-priority"": ""performance"", ""scheduled-downtime"": ""custom"", ""allow-spot"": ""false"", ""image"": ""centos-7"", ""service-tier"": ""virtualmachines-standard"", ""team"": ""devops"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""SoftwareSolutions"", ""showback-category"": ""production""}","{""serviceInfo"": ""VirtualMachines OS Licenses"", ""resourceDetails"": {""resourceName"": ""clo-api-test-v-ostq"", ""region"": ""uaecentral"", ""resourceType"": ""Microsoft.Compute/virtualMachines""}, ""metricDetails"": {""meterName"": ""Virtual Machines OS Licenses in uaecentral"", ""meterCategory"": ""VirtualMachines"", ""unit"": ""Hour""}}",VirtualMachines OS Licenses,Virtual Machines OS Licenses in uaecentral,reservation,Usage,Recurring,USD
01A2B3-C4D5E6-F7G8H9,Billing Account 01A2B3-C,2025-03-01,2025-03-31,billing-profile-01A2B3-C,Enterprise Agreement,owner-44400005,SoftwareSolutions,00000000-0000-0000-0000-000444400005,SoftwareSolutions Production,2025-03-20,VirtualMachines,Part-9-3D02,A5C7-B8E9-3D02,Compute,VirtualMachines,Standard,Virtual Machines Compute Hours in uaecentral,uaecentral,Hour,194577.20873992803,0.046643168079952016,9075.697451784372,9075.697451784372,SoftwareSolutions-7618,uaecentral,Microsoft.Compute,/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,clo-batch-test-b-ostq,VirtualMachines,Standard,clo-rg,Microsoft.Compute/virtualMachines,Microsoft,Microsoft,,,,,MS-AZR-0017P,,,,,"{""name"": ""CloudAppSaaSBackend-VirtualMachines"", ""project"": ""CloudAppSaaSBackend"", ""business-unit"": ""SoftwareSolutions"", ""environment"": ""production"", ""cost-center"": ""SoftwareSolutions-7618"", ""use-case"": ""Software Solutions"", ""data-classification"": ""internal"", ""department"": ""operations"", ""owner"": ""cloud-admin@example.com"", ""compliance-status"": ""non-compliant"", ""compliance-sox"": ""in-scope"", ""compliance-pci"": ""in-scope"", ""auto-scaling"": ""enabled"", ""iac"": ""false"", ""optimization-priority"": ""cost"", ""image"": ""rhel-8"", ""service-tier"": ""virtualmachines-standard"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""SoftwareSolutions"", ""showback-category"": ""production"", ""version"": ""stable"", ""compliance-gdpr"": ""out-of-scope"", ""deployment-group"": ""blue"", ""allow-spot"": ""true"", ""budget-alert"": ""medium"", ""patch-group"": ""dev"", ""vm-size"": ""Standard_B1ms"", ""auto-shutdown"": ""weekends""}","{""serviceInfo"": ""VirtualMachines Compute Hours"", ""resourceDetails"": {""resourceName"": ""clo-batch-test-b-ostq"", ""region"": ""uaecentral"", ""resourceType"": ""Microsoft.Compute/virtualMachines""}, ""metricDetails"": {""meterName"": ""Virtual Machines Compute Hours in uaecentral"", ""meterCategory"": ""VirtualMachines"", ""unit"": ""Hour""}}",VirtualMachines Compute Hours,Virtual Machines Compute Hours in uaecentral,on_demand,Usage,Recurring,USD
01A2B3-C4D5E6-F7G8H9,Billing Account 01A2B3-C,2025-03-01,2025-03-31,billing-profile-01A2B3-C,Enterprise Agreement,owner-44400005,SoftwareSolutions,00000000-0000-0000-0000-000444400005,SoftwareSolutions Production,2025-03-20,VirtualMachines,Part-2-6157,F3DB-E132-6157,Compute,VirtualMachines,Standard,Virtual Machines IP Addresses in uaecentral,uaecentral,Hour,88955.97704062641,0.051012297058125045,4537.848725892186,4537.848725892186,SoftwareSolutions-7618,uaecentral,Microsoft.Compute,/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,clo-batch-test-b-ostq,VirtualMachines,Standard,clo-rg,Microsoft.Compute/virtualMachines,Microsoft,Microsoft,,,,,MS-AZR-0017P,AHB-31638cb2,Azure Hybrid Benefit,,,"{""name"": ""CloudAppSaaSBackend-VirtualMachines"", ""project"": ""CloudAppSaaSBackend"", ""business-unit"": ""SoftwareSolutions"", ""environment"": ""production"", ""cost-center"": ""SoftwareSolutions-7618"", ""use-case"": ""Software Solutions"", ""data-classification"": ""internal"", ""department"": ""operations"", ""owner"": ""cloud-admin@example.com"", ""compliance-status"": ""non-compliant"", ""compliance-sox"": ""in-scope"", ""compliance-pci"": ""in-scope"", ""auto-scaling"": ""enabled"", ""iac"": ""false"", ""optimization-priority"": ""cost"", ""image"": ""rhel-8"", ""service-tier"": ""virtualmachines-standard"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""SoftwareSolutions"", ""showback-category"": ""production"", ""version"": ""stable"", ""compliance-gdpr"": ""out-of-scope"", ""deployment-group"": ""blue"", ""allow-spot"": ""true"", ""budget-alert"": ""medium"", ""patch-group"": ""dev"", ""vm-size"": ""Standard_B1ms"", ""auto-shutdown"": ""weekends""}","{""serviceInfo"": ""VirtualMachines IP Addresses"", ""resourceDetails"": {""resourceName"": ""clo-batch-test-b-ostq"", ""region"": ""uaecentral"", ""resourceType"": ""Microsoft.Compute/virtualMachines""}, ""metricDetails"": {""meterName"": ""Virtual Machines IP Addresses in uaecentral"", ""meterCategory"": ""VirtualMachines"", ""unit"": ""Hour""}}",VirtualMachines IP Addresses,Virtual Machines IP Addresses in uaecentral,on_demand,Usage,Recurring,USD
01A2B3-C4D5E6-F7G8H9,Billing Account 01A2B3-C,2025-03-01,2025-03-31,billing-profile-01A2B3-C,Enterprise Agreement,owner-44400005,SoftwareSolutions,00000000-0000-0000-0000-000444400005,SoftwareSolutions Production,2025-03-20,VirtualMachines,Part-E-1A91,D9CA-F45E-1A91,Compute,VirtualMachines,Standard,Virtual Machines IP Addresses in uaecentral,uaecentral,Hour,28530.83601692691,0.05301689165598407,1512.616241964062,1512.616241964062,SoftwareSolutions-7618,uaecentral,Microsoft.Compute,/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,clo-batch-test-b-ostq,VirtualMachines,Standard,clo-rg,Microsoft.Compute/virtualMachines,Microsoft,Microsoft,,,,,MS-AZR-0017P,,,,,"{""name"": ""CloudAppSaaSBackend-VirtualMachines"", ""project"": ""CloudAppSaaSBackend"", ""business-unit"": ""SoftwareSolutions"", ""environment"": ""production"", ""cost-center"": ""SoftwareSolutions-7618"", ""use-case"": ""Software Solutions"", ""data-classification"": ""internal"", ""department"": ""operations"", ""owner"": ""cloud-admin@example.com"", ""compliance-status"": ""non-compliant"", ""compliance-sox"": ""in-scope"", ""compliance-pci"": ""in-scope"", ""auto-scaling"": ""enabled"", ""iac"": ""false"", ""optimization-priority"": ""cost"", ""image"": ""rhel-8"", ""service-tier"": ""virtualmachines-standard"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""SoftwareSolutions"", ""showback-category"": ""production"", ""version"": ""stable"", ""compliance-gdpr"": ""out-of-scope"", ""deployment-group"": ""blue"", ""allow-spot"": ""true"", ""budget-alert"": ""medium"", ""patch-group"": ""dev"", ""vm-size"": ""Standard_B1ms"", ""auto-shutdown"": ""weekends""}","{""serviceInfo"": ""VirtualMachines IP Addresses"", ""resourceDetails"": {""resourceName"": ""clo-batch-test-b-ostq"", ""region"": ""uaecentral"", ""resourceType"": ""Microsoft.Compute/virtualMachines""}, ""metricDetails"": {""meterName"": ""Virtual Machines IP Addresses in uaecentral"", ""meterCategory"": ""VirtualMachines"", ""unit"": ""Hour""}}",VirtualMachines IP Addresses,Virtual Machines IP Addresses in uaecentral,on_demand,Usage,Recurring,USD
01A2B3-C4D5E6-F7G8H9,Billing Account 01A2B3-C,2025-03-01,2025-03-31,billing-profile-01A2B3-C,Enterprise Agreement,owner-44400005,SoftwareSolutions,00000000-0000-0000-0000-000444400005,SoftwareSolutions Production,2025-03-20,VirtualMachines,Part-9-3D02,A5C7-B8E9-3D02,Compute,VirtualMachines,Standard,Virtual Machines OS Licenses in uaecentral,uaecentral,Hour,20387.29834570223,0.049462700298817205,1008.4108279760412,1008.4108279760412,SoftwareSolutions-7618,uaecentral,Microsoft.Compute,/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,clo-batch-test-b-ostq,VirtualMachines,Standard,clo-rg,Microsoft.Compute/virtualMachines,Microsoft,Microsoft,,,,,MS-AZR-0017P,,,,,"{""name"": ""CloudAppSaaSBackend-VirtualMachines"", ""project"": ""CloudAppSaaSBackend"", ""business-unit"": ""SoftwareSolutions"", ""environment"": ""production"", ""cost-center"": ""SoftwareSolutions-7618"", ""use-case"": ""Software Solutions"", ""data-classification"": ""internal"", ""department"": ""operations"", ""owner"": ""cloud-admin@example.com"", ""compliance-status"": ""non-compliant"", ""compliance-sox"": ""in-scope"", ""compliance-pci"": ""in-scope"", ""auto-scaling"": ""enabled"", ""iac"": ""false"", ""optimization-priority"": ""cost"", ""image"": ""rhel-8"", ""service-tier"": ""virtualmachines-standard"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""SoftwareSolutions"", ""showback-category"": ""production"", ""version"": ""stable"", ""compliance-gdpr"": ""out-of-scope"", ""deployment-group"": ""blue"", ""allow-spot"": ""true"", ""budget-alert"": ""medium"", ""patch-group"": ""dev"", ""vm-size"": ""Standard_B1ms"", ""auto-shutdown"": ""weekends""}","{""serviceInfo"": ""VirtualMachines OS Licenses"", ""resourceDetails"": {""resourceName"": ""clo-batch-test-b-ostq"", ""region"": ""uaecentral"", ""resourceType"": ""Microsoft.Compute/virtualMachines""}, ""metricDetails"": {""meterName"": ""Virtual Machines OS Licenses in uaecentral"", ""meterCategory"": ""VirtualMachines"", ""unit"": ""Hour""}}",VirtualMachines OS Licenses,Virtual Machines OS Licenses in uaecentral,on_demand,Usage,Recurring,USD
01A2B3-C4D5E6-F7G8H9,Billing Account 01A2B3-C,2025-03-01,2025-03-31,billing-profile-01A2B3-C,Enterprise Agreement,owner-44400005,SoftwareSolutions,00000000-0000-0000-0000-000444400005,SoftwareSolutions Production,2025-03-20,VirtualMachines,Part-9-3D02,A5C7-B8E9-3D02,Compute,VirtualMachines,Standard,Virtual Machines Compute Hours in uaecentral,uaecentral,Hour,14162.201171657607,0.047469590155431673,672.2738853173609,672.2738853173609,SoftwareSolutions-7618,uaecentral,Microsoft.Compute,/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,clo-batch-test-b-ostq,VirtualMachines,Standard,clo-rg,Microsoft.Compute/virtualMachines,Microsoft,Microsoft,,,,,MS-AZR-0017P,,,,,"{""name"": ""CloudAppSaaSBackend-VirtualMachines"", ""project"": ""CloudAppSaaSBackend"", ""business-unit"": ""SoftwareSolutions"", ""environment"": ""production"", ""cost-center"": ""SoftwareSolutions-7618"", ""use-case"": ""Software Solutions"", ""data-classification"": ""internal"", ""department"": ""operations"", ""owner"": ""cloud-admin@example.com"", ""compliance-status"": ""non-compliant"", ""compliance-sox"": ""in-scope"", ""compliance-pci"": ""in-scope"", ""auto-scaling"": ""enabled"", ""iac"": ""false"", ""optimization-priority"": ""cost"", ""image"": ""rhel-8"", ""service-tier"": ""virtualmachines-standard"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""SoftwareSolutions"", ""showback-category"": ""production"", ""version"": ""stable"", ""compliance-gdpr"": ""out-of-scope"", ""deployment-group"": ""blue"", ""allow-spot"": ""true"", ""budget-alert"": ""medium"", ""patch-group"": ""dev"", ""vm-size"": ""Standard_B1ms"", ""auto-shutdown"": ""weekends""}","{""serviceInfo"": ""VirtualMachines Compute Hours"", ""resourceDetails"": {""resourceName"": ""clo-batch-test-b-ostq"", ""region"": ""uaecentral"", ""resourceType"": ""Microsoft.Compute/virtualMachines""}, ""metricDetails"": {""meterName"": ""Virtual Machines Compute Hours in uaecentral"", ""meterCategory"": ""VirtualMachines"", ""unit"": ""Hour""}}",VirtualMachines Compute Hours,Virtual Machines Compute Hours in uaecentral,on_demand,Usage,Recurring,USD
01A2B3-C4D5E6-F7G8H9,Billing Account 01A2B3-C,2025-03-01,2025-03-31,billing-profile-01A2B3-C,Enterprise Agreement,owner-44400005,SoftwareSolutions,00000000-0000-0000-0000-000444400005,SoftwareSolutions Production,2025-03-20,VirtualMachines,Part-2-6157,F3DB-E132-6157,Compute,VirtualMachines,Standard,Virtual Machines OS Licenses in francesouth,francesouth,Hour,371229.98933348636,0.05360491496277125,19899.752009852014,19899.752009852014,SoftwareSolutions-3520,francesouth,Microsoft.Compute,/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,clo-web-test-v-ostq,VirtualMachines,Standard,clo-rg,Microsoft.Compute/virtualMachines,Microsoft,Microsoft,,,,,MS-AZR-0017P,AHB-f36d13ba,Azure Hybrid Benefit,,,"{""name"": ""CloudAppSaaSBackend-VirtualMachines"", ""project"": ""CloudAppSaaSBackend"", ""business-unit"": ""SoftwareSolutions"", ""environment"": ""production"", ""cost-center"": ""SoftwareSolutions-3520"", ""use-case"": ""Software Solutions"", ""backup-frequency"": ""monthly"", ""requestor"": ""project-manager@example.com"", ""compliance-status"": ""compliant"", ""security-level"": ""low"", ""created-by"": ""api"", ""budget-alert"": ""exempt"", ""scheduled-downtime"": ""custom"", ""vm-size"": ""Standard_F2s_v2"", ""auto-shutdown"": ""nights"", ""service-tier"": ""virtualmachines-standard"", ""team"": ""analytics"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""SoftwareSolutions"", ""showback-category"": ""production"", ""compliance-sox"": ""out-of-scope"", ""managed-by"": ""devops"", ""iac"": ""true"", ""optimization-priority"": ""availability"", ""image"": ""centos-7"", ""patch-group"": ""group1""}","{""serviceInfo"": ""VirtualMachines OS Licenses"", ""resourceDetails"": {""resourceName"": ""clo-web-test-v-ostq"", ""region"": ""francesouth"", ""resourceType"": ""Microsoft.Compute/virtualMachines""}, ""metricDetails"": {""meterName"": ""Virtual Machines OS Licenses in francesouth"", ""meterCategory"": ""VirtualMachines"", ""unit"": ""Hour""}}",VirtualMachines OS Licenses,Virtual Machines OS Licenses in francesouth,on_demand,Usage,Recurring,USD
01A2B3-C4D5E6-F7G8H9,Billing Account 01A2B3-C,2025-03-01,2025-03-31,billing-profile-01A2B3-C,Enterprise Agreement,owner-44400005,SoftwareSolutions,00000000-0000-0000-0000-000444400005,SoftwareSolutions Production,2025-03-20,VirtualMachines,Part-2-6157,F3DB-E132-6157,Compute,VirtualMachines,Standard,Virtual Machines IP Addresses in francesouth,francesouth,Hour,185435.46684177508,0.05365681212114537,9949.876004926007,9949.876004926007,SoftwareSolutions-3520,francesouth,Microsoft.Compute,/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,clo-web-test-v-ostq,VirtualMachines,Standard,clo-rg,Microsoft.Compute/virtualMachines,Microsoft,Microsoft,,,,,MS-AZR-0003P,,,,,"{""name"": ""CloudAppSaaSBackend-VirtualMachines"", ""project"": ""CloudAppSaaSBackend"", ""business-unit"": ""SoftwareSolutions"", ""environment"": ""production"", ""cost-center"": ""SoftwareSolutions-3520"", ""use-case"": ""Software Solutions"", ""backup-frequency"": ""monthly"", ""requestor"": ""project-manager@example.com"", ""compliance-status"": ""compliant"", ""security-level"": ""low"", ""created-by"": ""api"", ""budget-alert"": ""exempt"", ""scheduled-downtime"": ""custom"", ""vm-size"": ""Standard_F2s_v2"", ""auto-shutdown"": ""nights"", ""service-tier"": ""virtualmachines-standard"", ""team"": ""analytics"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""SoftwareSolutions"", ""showback-category"": ""production"", ""compliance-sox"": ""out-of-scope"", ""managed-by"": ""devops"", ""iac"": ""true"", ""optimization-priority"": ""availability"", ""image"": ""centos-7"", ""patch-group"": ""group1""}","{""serviceInfo"": ""VirtualMachines IP Addresses"", ""resourceDetails"": {""resourceName"": ""clo-web-test-v-ostq"", ""region"": ""francesouth"", ""resourceType"": ""Microsoft.Compute/virtualMachines""}, ""metricDetails"": {""meterName"": ""Virtual Machines IP Addresses in francesouth"", ""meterCategory"": ""VirtualMachines"", ""unit"": ""Hour""}}",VirtualMachines IP Addresses,Virtual Machines IP Addresses in francesouth,on_demand,Usage,Recurring,USD
01A2B3-C4D5E6-F7G8H9,Billing Account 01A2B3-C,2025-03-01,2025-03-31,billing-profile-01A2B3-C,Enterprise Agreement,owner-44400005,SoftwareSolutions,00000000-0000-0000-0000-000444400005,SoftwareSolutions Production,2025-03-20,VirtualMachines,Part-9-3D02,A5C7-B8E9-3D02,Compute,VirtualMachines,Standard,Virtual Machines Compute Hours in francesouth,francesouth,Hour,101493.62438173823,0.049017246479948796,4974.938002463004,4974.938002463004,SoftwareSolutions-7024,francesouth,Microsoft.Compute,/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,clo-db-test-b-ostq,VirtualMachines,Standard,clo-rg,Microsoft.Compute/virtualMachines,Microsoft,Microsoft,,,,,MS-AZR-0017P,AHB-ee10131e,Azure Hybrid Benefit,,,"{""name"": ""CloudAppSaaSBackend-VirtualMachines"", ""project"": ""CloudAppSaaSBackend"", ""business-unit"": ""SoftwareSolutions"", ""environment"": ""production"", ""cost-center"": ""SoftwareSolutions-7024"", ""use-case"": ""Software Solutions"", ""backup-frequency"": ""weekly"", ""security-level"": ""critical"", ""compliance-status"": ""under-review"", ""compliance-pci"": ""out-of-scope"", ""managed-by"": ""sre"", ""created-by"": ""portal"", ""scheduled-downtime"": ""nights"", ""rightsizing"": ""optimized"", ""allow-spot"": ""true"", ""image"": ""ubuntu-20.04"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""SoftwareSolutions"", ""showback-category"": ""production""}","{""serviceInfo"": ""VirtualMachines Compute Hours"", ""resourceDetails"": {""resourceName"": ""clo-db-test-b-ostq"", ""region"": ""francesouth"", ""resourceType"": ""Microsoft.Compute/virtualMachines""}, ""metricDetails"": {""meterName"": ""Virtual Machines Compute Hours in francesouth"", ""meterCategory"": ""VirtualMachines"", ""unit"": ""Hour""}}",VirtualMachines Compute Hours,Virtual Machines Compute Hours in francesouth,on_demand,Usage,Recurring,USD
