resource_id,key,value
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,name,CloudAppSaaSBackend-VirtualMachines
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,project,CloudAppSaaSBackend
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,business-unit,SoftwareSolutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,environment,production
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,cost-center,SoftwareSolutions-2091
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,use-case,Software Solutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,version,1.0
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,owner,john.doe@example.com
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,compliance-pci,in-scope
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,compliance-status,exempted
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,iac,false
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,deployment-group,experiment
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,optimization-priority,performance
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,scheduled-downtime,custom
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,allow-spot,false
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,image,centos-7
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,service-tier,virtualmachines-standard
