resource_name,key,value
mi-loo-l1t8,name,SmartFactoryIoTPlatform-Looker
mi-loo-l1t8,project,SmartFactoryIoTPlatform
mi-loo-l1t8,business-unit,Manufacturing
mi-loo-l1t8,environment,non-production
mi-loo-l1t8,cost-center,Manufacturing-4449
mi-loo-l1t8,use-case,Enterprise Integration
mi-loo-l1t8,backup-frequency,hourly
mi-loo-l1t8,version,3-0
mi-loo-l1t8,requestor,product-team@example.com
mi-loo-l1t8,auto-scaling,disabled
mi-loo-l1t8,deployment-group,green
mi-loo-l1t8,service-tier,looker-basic
mi-loo-l1t8,cost-allocation,direct
mi-loo-l1t8,chargeback-entity,Manufacturing
mi-loo-l1t8,showback-category,non-production
mi-loo-l1t8,name,SmartFactoryIoTPlatform-Looker
mi-loo-l1t8,project,SmartFactoryIoTPlatform
mi-loo-l1t8,business-unit,Manufacturing
mi-loo-l1t8,environment,non-production
mi-loo-l1t8,cost-center,Manufacturing-1906
mi-loo-l1t8,use-case,Enterprise Integration
mi-loo-l1t8,auto-shutdown,false
mi-loo-l1t8,owner,team-devops@example.com
mi-loo-l1t8,iac,true
mi-loo-l1t8,optimization-priority,availability
mi-loo-l1t8,service-tier,looker-basic
mi-loo-l1t8,team,analytics
mi-loo-l1t8,cost-allocation,direct
mi-loo-l1t8,chargeback-entity,Manufacturing
mi-loo-l1t8,showback-category,non-production
mi-loo-l1t8,name,SmartFactoryIoTPlatform-Looker
mi-loo-l1t8,project,SmartFactoryIoTPlatform
mi-loo-l1t8,business-unit,Manufacturing
mi-loo-l1t8,environment,non-production
mi-loo-l1t8,cost-center,Manufacturing-5308
mi-loo-l1t8,use-case,Enterprise Integration
mi-loo-l1t8,backup-frequency,monthly
mi-loo-l1t8,version,stable
mi-loo-l1t8,compliance-gdpr,in-scope
mi-loo-l1t8,compliance-status,non-compliant
mi-loo-l1t8,managed-by,platform
mi-loo-l1t8,iac,false
mi-loo-l1t8,scheduled-downtime,never
mi-loo-l1t8,rightsizing,oversized
mi-loo-l1t8,service-tier,looker-standard
mi-loo-l1t8,cost-allocation,direct
mi-loo-l1t8,chargeback-entity,Manufacturing
mi-loo-l1t8,showback-category,non-production
mi-iot-knrk,name,SmartFactoryIoTPlatform-IoTSiteWise
mi-iot-knrk,project,SmartFactoryIoTPlatform
mi-iot-knrk,business-unit,Manufacturing
mi-iot-knrk,environment,non-production
mi-iot-knrk,cost-center,Manufacturing-8922
mi-iot-knrk,use-case,Enterprise Integration
mi-iot-knrk,auto-shutdown,nights
mi-iot-knrk,owner,team-devops@example.com
mi-iot-knrk,iac,false
mi-iot-knrk,created-by,deployment-manager
mi-iot-knrk,service-tier,iotsitewise-premium
mi-iot-knrk,cost-allocation,direct
mi-iot-knrk,chargeback-entity,Manufacturing
mi-iot-knrk,showback-category,non-production
mi-iot-knrk,name,SmartFactoryIoTPlatform-IoTSiteWise
mi-iot-knrk,project,SmartFactoryIoTPlatform
mi-iot-knrk,business-unit,Manufacturing
mi-iot-knrk,environment,non-production
mi-iot-knrk,cost-center,Manufacturing-5304
mi-iot-knrk,use-case,Enterprise Integration
mi-iot-knrk,backup-frequency,hourly
mi-iot-knrk,department,marketing
mi-iot-knrk,compliance-hipaa,not-required
mi-iot-knrk,auto-scaling,enabled
mi-iot-knrk,iac,true
mi-iot-knrk,optimization-priority,availability
mi-iot-knrk,budget-alert,low
mi-iot-knrk,service-tier,iotsitewise-enterprise
mi-iot-knrk,team,security
mi-iot-knrk,cost-allocation,direct
mi-iot-knrk,chargeback-entity,Manufacturing
mi-iot-knrk,showback-category,non-production
mi-iot-knrk,name,SmartFactoryIoTPlatform-IoTSiteWise
mi-iot-knrk,project,SmartFactoryIoTPlatform
mi-iot-knrk,business-unit,Manufacturing
mi-iot-knrk,environment,non-production
mi-iot-knrk,cost-center,Manufacturing-4794
mi-iot-knrk,use-case,Enterprise Integration
mi-iot-knrk,data-classification,confidential
mi-iot-knrk,owner,sre-team@example.com
mi-iot-knrk,created-by,terraform
mi-iot-knrk,iac,true
mi-iot-knrk,allow-spot,true
mi-iot-knrk,optimization-priority,balanced
mi-iot-knrk,service-tier,iotsitewise-standard
mi-iot-knrk,team,sre
mi-iot-knrk,cost-allocation,direct
mi-iot-knrk,chargeback-entity,Manufacturing
mi-iot-knrk,showback-category,non-production
mi-iot-g1c9,name,SmartFactoryIoTPlatform-IoT
mi-iot-g1c9,project,SmartFactoryIoTPlatform
mi-iot-g1c9,business-unit,Manufacturing
mi-iot-g1c9,environment,non-production
mi-iot-g1c9,cost-center,Manufacturing-3447
mi-iot-g1c9,use-case,Enterprise Integration
mi-iot-g1c9,data-classification,confidential
mi-iot-g1c9,auto-shutdown,nights
mi-iot-g1c9,backup-frequency,daily
mi-iot-g1c9,requestor,john.doe@example.com
mi-iot-g1c9,deployment-group,canary
mi-iot-g1c9,scheduled-downtime,custom
mi-iot-g1c9,optimization-priority,balanced
mi-iot-g1c9,service-tier,iot-standard
mi-iot-g1c9,cost-allocation,direct
mi-iot-g1c9,chargeback-entity,Manufacturing
mi-iot-g1c9,showback-category,non-production
mi-iot-g1c9,name,SmartFactoryIoTPlatform-IoT
mi-iot-g1c9,project,SmartFactoryIoTPlatform
mi-iot-g1c9,business-unit,Manufacturing
mi-iot-g1c9,environment,non-production
mi-iot-g1c9,cost-center,Manufacturing-2174
mi-iot-g1c9,use-case,Enterprise Integration
mi-iot-g1c9,data-classification,confidential
mi-iot-g1c9,auto-shutdown,false
mi-iot-g1c9,owner,team-devops@example.com
mi-iot-g1c9,requestor,john.doe@example.com
mi-iot-g1c9,security-level,high
mi-iot-g1c9,compliance-hipaa,not-required
mi-iot-g1c9,deployment-group,main
mi-iot-g1c9,created-by,gcloud
mi-iot-g1c9,scheduled-downtime,weekends
mi-iot-g1c9,service-tier,iot-standard
mi-iot-g1c9,team,sre
mi-iot-g1c9,cost-allocation,direct
mi-iot-g1c9,chargeback-entity,Manufacturing
mi-iot-g1c9,showback-category,non-production
mi-iot-g1c9,name,SmartFactoryIoTPlatform-IoT
