billing_account_id,service.id,service.description,sku.id,sku.description,usage_start_time,usage_end_time,project.id,project.number,project.name,project.ancestry_numbers,project.labels,location.location,location.country,location.region,location.zone,export_time,cost,currency,currency_conversion_rate,usage.amount,usage.unit,usage.amount_in_pricing_units,usage.pricing_unit,credits,invoice.month,cost_type,adjustment_info.id,adjustment_info.description,adjustment_info.mode,system_labels,resource.name,resource.global_name,price.effective_price,price.tier,price.tiered_rates
01A2B3-C4D5E6-F7G8H9,looker,Looker,D7E2-A5C8-B9F3,Looker DataUsage in us-west1,2025-03-20T01:00:00,2025-03-20T14:00:00,manufacturing-iot-888803,888800000003,Manufacturing IoT,organizations/12345678901,"{""name"": ""SmartFactoryIoTPlatform-Looker"", ""project"": ""SmartFactoryIoTPlatform"", ""business-unit"": ""Manufacturing"", ""environment"": ""non-production"", ""cost-center"": ""Manufacturing-5308"", ""use-case"": ""Enterprise Integration"", ""backup-frequency"": ""monthly"", ""version"": ""stable"", ""requestor"": ""product-team@example.com"", ""auto-scaling"": ""disabled"", ""deployment-group"": ""green"", ""service-tier"": ""looker-standard"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""Manufacturing"", ""showback-category"": ""non-production"", ""auto-shutdown"": ""false"", ""owner"": ""team-devops@example.com"", ""iac"": ""false"", ""optimization-priority"": ""availability"", ""team"": ""analytics"", ""compliance-gdpr"": ""in-scope"", ""compliance-status"": ""non-compliant"", ""managed-by"": ""platform"", ""scheduled-downtime"": ""never"", ""rightsizing"": ""oversized""}",us-west1,US,us-west1,,2025-03-20T17:00:00,6669.259095947528,USD,1.0,562.3244108631839,Months,562.3244108631839,Months,[],2025-03,regular,,,,"{""compute.googleapis.com/resource_name"": ""mi-loo-l1t8"", ""goog-resource-family"": ""looker"", ""goog-creation-time"": ""2024-10-30T23:04:41Z"", ""cloud.googleapis.com/location"": ""us-west1""}",mi-loo-l1t8,//cloudresourcemanager.googleapis.com/projects/manufacturing-iot-888803/services/looker/resources/mi-loo-l1t8,11.860162865257845,Standard,"[{""start_usage_amount"": ""0"", ""end_usage_amount"": null, ""unit_price"": 11.860162865257845, ""unit"": ""Months""}]"
01A2B3-C4D5E6-F7G8H9,looker,Looker,F5B9-C3A8-E2D7,Looker DataUsage in us-west1,2025-03-20T16:00:00,2025-03-20T22:00:00,manufacturing-iot-888803,888800000003,Manufacturing IoT,organizations/12345678901,"{""name"": ""SmartFactoryIoTPlatform-Looker"", ""project"": ""SmartFactoryIoTPlatform"", ""business-unit"": ""Manufacturing"", ""environment"": ""non-production"", ""cost-center"": ""Manufacturing-5308"", ""use-case"": ""Enterprise Integration"", ""backup-frequency"": ""monthly"", ""version"": ""stable"", ""requestor"": ""product-team@example.com"", ""auto-scaling"": ""disabled"", ""deployment-group"": ""green"", ""service-tier"": ""looker-standard"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""Manufacturing"", ""showback-category"": ""non-production"", ""auto-shutdown"": ""false"", ""owner"": ""team-devops@example.com"", ""iac"": ""false"", ""optimization-priority"": ""availability"", ""team"": ""analytics"", ""compliance-gdpr"": ""in-scope"", ""compliance-status"": ""non-compliant"", ""managed-by"": ""platform"", ""scheduled-downtime"": ""never"", ""rightsizing"": ""oversized""}",us-west1,US,us-west1,,2025-03-21T01:00:00,4446.172730631686,USD,1.0,374.22786436969204,Months,374.22786436969204,Months,[],2025-03,regular,,,,"{""compute.googleapis.com/resource_name"": ""mi-loo-l1t8"", ""goog-resource-family"": ""looker"", ""goog-creation-time"": ""2025-02-08T23:04:41Z"", ""cloud.googleapis.com/location"": ""us-west1""}",mi-loo-l1t8,//cloudresourcemanager.googleapis.com/projects/manufacturing-iot-888803/services/looker/resources/mi-loo-l1t8,11.880923773862555,Standard,"[{""start_usage_amount"": ""0"", ""end_usage_amount"": null, ""unit_price"": 11.880923773862555, ""unit"": ""Months""}]"
01A2B3-C4D5E6-F7G8H9,looker,Looker,F5B9-C3A8-E2D7,Looker DashboardUsage in us-west1,2025-03-20T00:00:00,2025-03-20T18:00:00,manufacturing-iot-888803,888800000003,Manufacturing IoT,organizations/12345678901,"{""name"": ""SmartFactoryIoTPlatform-Looker"", ""project"": ""SmartFactoryIoTPlatform"", ""business-unit"": ""Manufacturing"", ""environment"": ""non-production"", ""cost-center"": ""Manufacturing-5308"", ""use-case"": ""Enterprise Integration"", ""backup-frequency"": ""monthly"", ""version"": ""stable"", ""requestor"": ""product-team@example.com"", ""auto-scaling"": ""disabled"", ""deployment-group"": ""green"", ""service-tier"": ""looker-standard"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""Manufacturing"", ""showback-category"": ""non-production"", ""auto-shutdown"": ""false"", ""owner"": ""team-devops@example.com"", ""iac"": ""false"", ""optimization-priority"": ""availability"", ""team"": ""analytics"", ""compliance-gdpr"": ""in-scope"", ""compliance-status"": ""non-compliant"", ""managed-by"": ""platform"", ""scheduled-downtime"": ""never"", ""rightsizing"": ""oversized""}",us-west1,US,us-west1,,2025-03-20T21:00:00,2964.1151537544574,USD,1.0,242.05627510091276,Months,242.05627510091276,Months,"[{""name"": ""Spend-based Discount"", ""full_name"": ""Spend-based Committed Use Discount"", ""type"": ""spend-based-discount"", ""id"": ""spend-based-discount-0c0f5714"", ""amount"": -761.2554600321614}]",2025-03,regular,,,,"{""compute.googleapis.com/resource_name"": ""mi-loo-l1t8"", ""goog-resource-family"": ""looker"", ""goog-creation-time"": ""2025-01-22T23:04:41Z"", ""cloud.googleapis.com/location"": ""us-west1""}",mi-loo-l1t8,//cloudresourcemanager.googleapis.com/projects/manufacturing-iot-888803/services/looker/resources/mi-loo-l1t8,12.245562121943436,Standard,"[{""start_usage_amount"": ""0"", ""end_usage_amount"": null, ""unit_price"": 12.245562121943436, ""unit"": ""Months""}]"
01A2B3-C4D5E6-F7G8H9,looker,Looker,D7E2-A5C8-B9F3,Looker DashboardUsage in us-west1,2025-03-20T03:00:00,2025-03-20T22:00:00,manufacturing-iot-888803,888800000003,Manufacturing IoT,organizations/12345678901,"{""name"": ""SmartFactoryIoTPlatform-Looker"", ""project"": ""SmartFactoryIoTPlatform"", ""business-unit"": ""Manufacturing"", ""environment"": ""non-production"", ""cost-center"": ""Manufacturing-5308"", ""use-case"": ""Enterprise Integration"", ""backup-frequency"": ""monthly"", ""version"": ""stable"", ""requestor"": ""product-team@example.com"", ""auto-scaling"": ""disabled"", ""deployment-group"": ""green"", ""service-tier"": ""looker-standard"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""Manufacturing"", ""showback-category"": ""non-production"", ""auto-shutdown"": ""false"", ""owner"": ""team-devops@example.com"", ""iac"": ""false"", ""optimization-priority"": ""availability"", ""team"": ""analytics"", ""compliance-gdpr"": ""in-scope"", ""compliance-status"": ""non-compliant"", ""managed-by"": ""platform"", ""scheduled-downtime"": ""never"", ""rightsizing"": ""oversized""}",us-west1,US,us-west1,,2025-03-21T00:00:00,1976.0767691696385,USD,1.0,181.09062111973967,Months,181.09062111973967,Months,"[{""name"": ""Committed Use Discount"", ""full_name"": ""Committed Use Discount: 1 year"", ""type"": ""cud-1yr"", ""id"": ""cud-1yr-3320e786"", ""amount"": -571.5364574814583}]",2025-03,regular,,,,"{""compute.googleapis.com/resource_name"": ""mi-loo-l1t8"", ""goog-resource-family"": ""looker"", ""goog-creation-time"": ""2025-01-26T23:04:41Z"", ""cloud.googleapis.com/location"": ""us-west1""}",mi-loo-l1t8,//cloudresourcemanager.googleapis.com/projects/manufacturing-iot-888803/services/looker/resources/mi-loo-l1t8,10.912087864909518,Standard,"[{""start_usage_amount"": ""0"", ""end_usage_amount"": null, ""unit_price"": 10.912087864909518, ""unit"": ""Months""}]"
01A2B3-C4D5E6-F7G8H9,looker,Looker,D7E2-A5C8-B9F3,Looker DataUsage in us-west1,2025-03-20T08:00:00,2025-03-20T13:00:00,manufacturing-iot-888803,888800000003,Manufacturing IoT,organizations/12345678901,"{""name"": ""SmartFactoryIoTPlatform-Looker"", ""project"": ""SmartFactoryIoTPlatform"", ""business-unit"": ""Manufacturing"", ""environment"": ""non-production"", ""cost-center"": ""Manufacturing-5308"", ""use-case"": ""Enterprise Integration"", ""backup-frequency"": ""monthly"", ""version"": ""stable"", ""requestor"": ""product-team@example.com"", ""auto-scaling"": ""disabled"", ""deployment-group"": ""green"", ""service-tier"": ""looker-standard"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""Manufacturing"", ""showback-category"": ""non-production"", ""auto-shutdown"": ""false"", ""owner"": ""team-devops@example.com"", ""iac"": ""false"", ""optimization-priority"": ""availability"", ""team"": ""analytics"", ""compliance-gdpr"": ""in-scope"", ""compliance-status"": ""non-compliant"", ""managed-by"": ""platform"", ""scheduled-downtime"": ""never"", ""rightsizing"": ""oversized""}",us-west1,US,us-west1,,2025-03-20T14:00:00,1317.384512779759,USD,1.0,106.05901811105524,Months,106.05901811105524,Months,[],2025-03,regular,,,,"{""compute.googleapis.com/resource_name"": ""mi-loo-l1t8"", ""goog-resource-family"": ""looker"", ""goog-creation-time"": ""2025-02-05T23:04:41Z"", ""cloud.googleapis.com/location"": ""us-west1""}",mi-loo-l1t8,//cloudresourcemanager.googleapis.com/projects/manufacturing-iot-888803/services/looker/resources/mi-loo-l1t8,12.421239949631772,Standard,"[{""start_usage_amount"": ""0"", ""end_usage_amount"": null, ""unit_price"": 12.421239949631772, ""unit"": ""Months""}]"
01A2B3-C4D5E6-F7G8H9,looker,Looker,D7E2-A5C8-B9F3,Looker DataUsage in us-west1,2025-03-20T08:00:00,2025-03-20T23:00:00,manufacturing-iot-888803,888800000003,Manufacturing IoT,organizations/12345678901,"{""name"": ""SmartFactoryIoTPlatform-Looker"", ""project"": ""SmartFactoryIoTPlatform"", ""business-unit"": ""Manufacturing"", ""environment"": ""non-production"", ""cost-center"": ""Manufacturing-5308"", ""use-case"": ""Enterprise Integration"", ""backup-frequency"": ""monthly"", ""version"": ""stable"", ""requestor"": ""product-team@example.com"", ""auto-scaling"": ""disabled"", ""deployment-group"": ""green"", ""service-tier"": ""looker-standard"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""Manufacturing"", ""showback-category"": ""non-production"", ""auto-shutdown"": ""false"", ""owner"": ""team-devops@example.com"", ""iac"": ""false"", ""optimization-priority"": ""availability"", ""team"": ""analytics"", ""compliance-gdpr"": ""in-scope"", ""compliance-status"": ""non-compliant"", ""managed-by"": ""platform"", ""scheduled-downtime"": ""never"", ""rightsizing"": ""oversized""}",us-west1,US,us-west1,,2025-03-21T03:00:00,878.2563418531726,USD,1.0,74.51594566315448,Months,74.51594566315448,Months,[],2025-03,regular,,,,"{""compute.googleapis.com/resource_name"": ""mi-loo-l1t8"", ""goog-resource-family"": ""looker"", ""goog-creation-time"": ""2024-10-30T23:04:41Z"", ""cloud.googleapis.com/location"": ""us-west1""}",mi-loo-l1t8,//cloudresourcemanager.googleapis.com/projects/manufacturing-iot-888803/services/looker/resources/mi-loo-l1t8,11.7861530714954,Standard,"[{""start_usage_amount"": ""0"", ""end_usage_amount"": null, ""unit_price"": 11.7861530714954, ""unit"": ""Months""}]"
01A2B3-C4D5E6-F7G8H9,looker,Looker,F5B9-C3A8-E2D7,Looker DataUsage in us-west1,2025-03-20T04:00:00,2025-03-20T23:00:00,manufacturing-iot-888803,888800000003,Manufacturing IoT,organizations/12345678901,"{""name"": ""SmartFactoryIoTPlatform-Looker"", ""project"": ""SmartFactoryIoTPlatform"", ""business-unit"": ""Manufacturing"", ""environment"": ""non-production"", ""cost-center"": ""Manufacturing-5308"", ""use-case"": ""Enterprise Integration"", ""backup-frequency"": ""monthly"", ""version"": ""stable"", ""requestor"": ""product-team@example.com"", ""auto-scaling"": ""disabled"", ""deployment-group"": ""green"", ""service-tier"": ""looker-standard"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""Manufacturing"", ""showback-category"": ""non-production"", ""auto-shutdown"": ""false"", ""owner"": ""team-devops@example.com"", ""iac"": ""false"", ""optimization-priority"": ""availability"", ""team"": ""analytics"", ""compliance-gdpr"": ""in-scope"", ""compliance-status"": ""non-compliant"", ""managed-by"": ""platform"", ""scheduled-downtime"": ""never"", ""rightsizing"": ""oversized""}",us-west1,US,us-west1,,2025-03-21T02:00:00,878.2563418531724,USD,1.0,68.57180877485992,Months,68.57180877485992,Months,[],2025-03,regular,,,,"{""compute.googleapis.com/resource_name"": ""mi-loo-l1t8"", ""goog-resource-family"": ""looker"", ""goog-creation-time"": ""2025-03-12T23:04:41Z"", ""cloud.googleapis.com/location"": ""us-west1""}",mi-loo-l1t8,//cloudresourcemanager.googleapis.com/projects/manufacturing-iot-888803/services/looker/resources/mi-loo-l1t8,12.807833970615086,Standard,"[{""start_usage_amount"": ""0"", ""end_usage_amount"": null, ""unit_price"": 12.807833970615086, ""unit"": ""Months""}]"
01A2B3-C4D5E6-F7G8H9,looker,Looker,D7E2-A5C8-B9F3,Looker DashboardUsage in us-west1,2025-03-20T00:00:00,2025-03-20T23:00:00,manufacturing-iot-888803,888800000003,Manufacturing IoT,organizations/12345678901,"{""name"": ""SmartFactoryIoTPlatform-Looker"", ""project"": ""SmartFactoryIoTPlatform"", ""business-unit"": ""Manufacturing"", ""environment"": ""non-production"", ""cost-center"": ""Manufacturing-5308"", ""use-case"": ""Enterprise Integration"", ""backup-frequency"": ""monthly"", ""version"": ""stable"", ""requestor"": ""product-team@example.com"", ""auto-scaling"": ""disabled"", ""deployment-group"": ""green"", ""service-tier"": ""looker-standard"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""Manufacturing"", ""showback-category"": ""non-production"", ""auto-shutdown"": ""false"", ""owner"": ""team-devops@example.com"", ""iac"": ""false"", ""optimization-priority"": ""availability"", ""team"": ""analytics"", ""compliance-gdpr"": ""in-scope"", ""compliance-status"": ""non-compliant"", ""managed-by"": ""platform"", ""scheduled-downtime"": ""never"", ""rightsizing"": ""oversized""}",us-west1,US,us-west1,,2025-03-21T01:00:00,439.1281709265862,USD,1.0,33.3097766297633,Months,33.3097766297633,Months,"[{""name"": ""Spend-based Discount"", ""full_name"": ""Spend-based Committed Use Discount"", ""type"": ""spend-based-discount"", ""id"": ""spend-based-discount-a0638ebd"", ""amount"": -99.03723844491229}]",2025-03,regular,,,,"{""compute.googleapis.com/resource_name"": ""mi-loo-l1t8"", ""goog-resource-family"": ""looker"", ""goog-creation-time"": ""2024-12-27T23:04:41Z"", ""cloud.googleapis.com/location"": ""us-west1""}",mi-loo-l1t8,//cloudresourcemanager.googleapis.com/projects/manufacturing-iot-888803/services/looker/resources/mi-loo-l1t8,13.18316168275388,Standard,"[{""start_usage_amount"": ""0"", ""end_usage_amount"": null, ""unit_price"": 13.18316168275388, ""unit"": ""Months""}]"
01A2B3-C4D5E6-F7G8H9,looker,Looker,F5B9-C3A8-E2D7,Looker DataUsage in us-west1,2025-03-20T09:00:00,2025-03-20T19:00:00,manufacturing-prod-444403,444400000003,Manufacturing Production,organizations/12345678901,"{""name"": ""SmartFactoryIoTPlatform-Looker"", ""project"": ""SmartFactoryIoTPlatform"", ""business-unit"": ""Manufacturing"", ""environment"": ""non-production"", ""cost-center"": ""Manufacturing-5308"", ""use-case"": ""Enterprise Integration"", ""backup-frequency"": ""monthly"", ""version"": ""stable"", ""requestor"": ""product-team@example.com"", ""auto-scaling"": ""disabled"", ""deployment-group"": ""green"", ""service-tier"": ""looker-standard"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""Manufacturing"", ""showback-category"": ""non-production"", ""auto-shutdown"": ""false"", ""owner"": ""team-devops@example.com"", ""iac"": ""false"", ""optimization-priority"": ""availability"", ""team"": ""analytics"", ""compliance-gdpr"": ""in-scope"", ""compliance-status"": ""non-compliant"", ""managed-by"": ""platform"", ""scheduled-downtime"": ""never"", ""rightsizing"": ""oversized""}",us-west1,US,us-west1,,2025-03-20T20:00:00,40015.554575685164,USD,1.0,3301.8331924418144,Months,3301.8331924418144,Months,[],2025-03,regular,,,,"{""compute.googleapis.com/resource_name"": ""mi-loo-l1t8"", ""goog-resource-family"": ""looker"", ""goog-creation-time"": ""2025-03-14T23:04:41Z"", ""cloud.googleapis.com/location"": ""us-west1""}",mi-loo-l1t8,//cloudresourcemanager.googleapis.com/projects/manufacturing-prod-444403/services/looker/resources/mi-loo-l1t8,12.119193261272034,Standard,"[{""start_usage_amount"": ""0"", ""end_usage_amount"": null, ""unit_price"": 12.119193261272034, ""unit"": ""Months""}]"
01A2B3-C4D5E6-F7G8H9,looker,Looker,D7E2-A5C8-B9F3,Looker DataUsage in us-west1,2025-03-20T00:00:00,2025-03-20T23:00:00,manufacturing-prod-444403,444400000003,Manufacturing Production,organizations/12345678901,"{""name"": ""SmartFactoryIoTPlatform-Looker"", ""project"": ""SmartFactoryIoTPlatform"", ""business-unit"": ""Manufacturing"", ""environment"": ""non-production"", ""cost-center"": ""Manufacturing-5308"", ""use-case"": ""Enterprise Integration"", ""backup-frequency"": ""monthly"", ""version"": ""stable"", ""requestor"": ""product-team@example.com"", ""auto-scaling"": ""disabled"", ""deployment-group"": ""green"", ""service-tier"": ""looker-standard"", ""cost-allocation"": ""direct"", ""chargeback-entity"": ""Manufacturing"", ""showback-category"": ""non-production"", ""auto-shutdown"": ""false"", ""owner"": ""team-devops@example.com"", ""iac"": ""false"", ""optimization-priority"": ""availability"", ""team"": ""analytics"", ""compliance-gdpr"": ""in-scope"", ""compliance-status"": ""non-compliant"", ""managed-by"": ""platform"", ""scheduled-downtime"": ""never"", ""rightsizing"": ""oversized""}",us-west1,US,us-west1,,2025-03-21T00:00:00,26677.03638379011,USD,1.0,2322.7796405609092,Months,2322.7796405609092,Months,"[{""name"": ""Sustained Use Discount"", ""full_name"": ""Sustained Use Discount"", ""type"": ""sustained-use-discount"", ""id"": ""sustained-use-discount-67571341"", ""amount"": -7196.862767674572}]",2025-03,regular,,,,"{""compute.googleapis.com/resource_name"": ""mi-loo-l1t8"", ""goog-resource-family"": ""looker"", ""goog-creation-time"": ""2024-11-13T23:04:41Z"", ""cloud.googleapis.com/location"": ""us-west1""}",mi-loo-l1t8,//cloudresourcemanager.googleapis.com/projects/manufacturing-prod-444403/services/looker/resources/mi-loo-l1t8,11.484962205604699,Standard,"[{""start_usage_amount"": ""0"", ""end_usage_amount"": null, ""unit_price"": 11.484962205604699, ""unit"": ""Months""}]"
