identity/LineItemId,identity/TimeInterval,bill/InvoiceId,bill/BillingEntity,bill/BillType,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/NormalizationFactor,lineItem/NormalizedUsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,lineItem/LineItemDescription,lineItem/TaxType,product/ProductName,product/servicecode,product/region,pricing/unit,pricing/publicOnDemandCost,pricing/publicOnDemandRate,pricing/term,pricing/offeringClass
216403a9-5376-48bb-8a71-ac448383cdae,2025-03-20T03:00:00/2025-03-20T05:00:00,I-20250301,AWS,Anniversary,111111111111,2025-03-01T00:00:00Z,2025-03-31T23:59:59Z,444400000005,Usage,2025-03-20T03:00:00Z,2025-03-20T05:00:00Z,EC2,DataTransfer-Out,RunInstances,us-gov-east-1c,i-f8608375,213950.90240054578,1,213950.90240054578,USD,0.045909094121737944,9822.292115737424,0.045909094121737944,9822.292115737424,EC2 RunInstances in us-gov-east-1,,EC2,ec2,us-gov-east-1,Hrs,9822.292115737424,0.045909094121737944,OnDemand,Standard
fa4da01e-7981-4872-b851-973a7591ee04,2025-03-20T09:00:00/2025-03-20T22:00:00,I-20250301,AWS,Anniversary,111111111111,2025-03-01T00:00:00Z,2025-03-31T23:59:59Z,444400000005,Usage,2025-03-20T09:00:00Z,2025-03-20T22:00:00Z,EC2,DataTransfer-In,EC2-DataTransfer,us-gov-east-1c,i-f8608375,107617.31656078565,1,107617.31656078565,USD,0.045635277061519576,4911.146057868712,0.045635277061519576,4911.146057868712,EC2 EC2-DataTransfer in us-gov-east-1,,EC2,ec2,us-gov-east-1,Hrs,4911.146057868712,0.045635277061519576,OnDemand,Standard
cde13b80-c628-4006-adfa-b42de8ab1a97,2025-03-20T02:00:00/2025-03-20T20:00:00,I-20250301,AWS,Anniversary,111111111111,2025-03-01T00:00:00Z,2025-03-31T23:59:59Z,444400000005,Usage,2025-03-20T02:00:00Z,2025-03-20T20:00:00Z,EC2,BoxUsage,EC2-DataTransfer,us-gov-east-1b,i-e2ebdb47,106427.37001131235,1,106427.37001131235,USD,0.04614551742983687,4911.146057868712,0.04614551742983687,4911.146057868712,EC2 EC2-DataTransfer in us-gov-east-1,,EC2,ec2,us-gov-east-1,Hrs,4911.146057868712,0.04614551742983687,OnDemand,Standard
d2071316-cb1e-4474-bcc0-9a06317fcfc5,2025-03-20T08:00:00/2025-03-20T17:00:00,I-20250301,AWS,Anniversary,111111111111,2025-03-01T00:00:00Z,2025-03-31T23:59:59Z,333300000005,Usage,2025-03-20T08:00:00Z,2025-03-20T17:00:00Z,EC2,BoxUsage,RunInstances,us-gov-east-1c,i-f8608375,47022.7832084293,1,47022.7832084293,USD,0.05222092061309911,2455.573028934356,0.05222092061309911,2455.573028934356,EC2 RunInstances in us-gov-east-1,,EC2,ec2,us-gov-east-1,Hrs,2455.573028934356,0.05222092061309911,OnDemand,Standard
58adc1e5-89ed-4dff-96f6-9bb3236fd70c,2025-03-20T01:00:00/2025-03-20T21:00:00,I-20250301,AWS,Anniversary,111111111111,2025-03-01T00:00:00Z,2025-03-31T23:59:59Z,333300000005,Usage,2025-03-20T01:00:00Z,2025-03-20T21:00:00Z,EC2,DataTransfer-In,RunInstances,us-gov-east-1a,i-f8608375,35837.670199729946,1,35837.670199729946,USD,0.051389494948660054,1841.679771700767,0.051389494948660054,1841.679771700767,EC2 RunInstances in us-gov-east-1,,EC2,ec2,us-gov-east-1,Hrs,1841.679771700767,0.051389494948660054,OnDemand,Standard
ba4cb9c8-d405-470a-8ed7-0addeee15f13,2025-03-20T00:00:00/2025-03-20T17:00:00,I-20250301,AWS,Anniversary,111111111111,2025-03-01T00:00:00Z,2025-03-31T23:59:59Z,333300000005,Usage,2025-03-20T00:00:00Z,2025-03-20T17:00:00Z,EC2,EBS:VolumeUsage.gp2,EC2-DataTransfer,us-gov-east-1a,i-f8608375,26167.031032927294,1,26167.031032927294,USD,0.05278626478630558,1381.2598287755754,0.05278626478630558,1381.2598287755754,EC2 EC2-DataTransfer in us-gov-east-1,,EC2,ec2,us-gov-east-1,Hrs,1381.2598287755754,0.05278626478630558,OnDemand,Standard
4c6b2162-7cbc-410d-a4e6-e4c52e619662,2025-03-20T03:00:00/2025-03-20T13:00:00,I-20250301,AWS,Anniversary,111111111111,2025-03-01T00:00:00Z,2025-03-31T23:59:59Z,333300000005,Usage,2025-03-20T03:00:00Z,2025-03-20T13:00:00Z,EC2,DataTransfer-Out,RunInstances,us-gov-east-1c,i-f8608375,21302.67260304667,1,21302.67260304667,USD,0.04862980767180934,1035.9448715816816,0.04862980767180934,1035.9448715816816,EC2 RunInstances in us-gov-east-1,,EC2,ec2,us-gov-east-1,Hrs,1035.9448715816816,0.04862980767180934,OnDemand,Standard
e6603644-3c54-4f9a-b942-32b8ea652216,2025-03-20T17:00:00/2025-03-20T20:00:00,I-20250301,AWS,Anniversary,111111111111,2025-03-01T00:00:00Z,2025-03-31T23:59:59Z,333300000005,Usage,2025-03-20T17:00:00Z,2025-03-20T20:00:00Z,EC2,DataTransfer-Out,RunInstances,us-gov-east-1c,i-e2ebdb47,62331.33893075589,1,62331.33893075589,USD,0.04985990463316614,3107.8346147450447,0.04985990463316614,3107.8346147450447,EC2 RunInstances in us-gov-east-1,,EC2,ec2,us-gov-east-1,Hrs,3107.8346147450447,0.04985990463316614,OnDemand,Standard
d23fa717-b00d-4a89-8477-52e0c76f8c7f,2025-03-20T06:00:00/2025-03-20T23:00:00,I-20250301,AWS,Anniversary,111111111111,2025-03-01T00:00:00Z,2025-03-31T23:59:59Z,444400000005,Usage,2025-03-20T06:00:00Z,2025-03-20T23:00:00Z,S3,DataTransfer-Out,TieringOperations,us-gov-east-1a,my-s3-bucket-edb2a099,5644.5157696755805,1,5644.5157696755805,USD,0.02338721693451127,132.00951479567266,0.02338721693451127,132.00951479567266,S3 TieringOperations in us-gov-east-1,,S3,s3,us-gov-east-1,GB-Month,132.00951479567266,0.02338721693451127,OnDemand,Standard
3a042457-d4f7-4322-86f4-697b039ff162,2025-03-20T02:00:00/2025-03-20T08:00:00,I-20250301,AWS,Anniversary,111111111111,2025-03-01T00:00:00Z,2025-03-31T23:59:59Z,444400000005,SavingsPlanCoveredUsage,2025-03-20T02:00:00Z,2025-03-20T08:00:00Z,S3,Storage-GB,TieringOperations,us-gov-east-1c,my-s3-bucket-edb2a099,2088.5751235203084,1,2088.5751235203084,USD,0.0210685127401067,44.003171598557536,0.0210685127401067,44.003171598557536,S3 TieringOperations in us-gov-east-1,,S3,s3,us-gov-east-1,GB-Month,44.003171598557536,0.0210685127401067,OnDemand,Standard
5f99b192-316b-42a4-af4a-518e281938e8,2025-03-20T01:00:00/2025-03-20T20:00:00,I-20250301,AWS,Anniversary,111111111111,2025-03-01T00:00:00Z,2025-03-31T23:59:59Z,444400000005,DiscountedUsage,2025-03-20T01:00:00Z,2025-03-20T20:00:00Z,S3,Requests-PUT,TieringOperations,us-gov-east-1a,my-s3-bucket-edb2a099,1625.6023495134693,1,1625.6023495134693,USD,0.022557367536064077,36.669309665464624,0.022557367536064077,36.669309665464624,S3 TieringOperations in us-gov-east-1,,S3,s3,us-gov-east-1,GB-Month,36.669309665464624,0.022557367536064077,OnDemand,Standard
73697054-1a9e-4b51-b342-a922cd78a53e,2025-03-20T02:00:00/2025-03-20T19:00:00,I-20250301,AWS,Anniversary,111111111111,2025-03-01T00:00:00Z,2025-03-31T23:59:59Z,444400000005,Usage,2025-03-20T02:00:00Z,2025-03-20T19:00:00Z,S3,DataTransfer-Out,DataTransfer,us-gov-east-1c,my-s3-bucket-303ab986,7840.384474134851,1,7840.384474134851,USD,0.023384892530739637,183.3465483273231,0.023384892530739637,183.3465483273231,S3 DataTransfer in us-gov-east-1,,S3,s3,us-gov-east-1,GB-Month,183.3465483273231,0.023384892530739637,OnDemand,Standard
