resourceId,key,value
cloudwatchlogs-resource-688d4443,Name,HealthcareDataInteroperabilityHub-CloudWatchLogs
cloudwatchlogs-resource-688d4443,Project,HealthcareDataInteroperabilityHub
cloudwatchlogs-resource-688d4443,BusinessUnit,Pharma
cloudwatchlogs-resource-688d4443,Environment,Production
cloudwatchlogs-resource-688d4443,CostCenter,Pharma-4811
cloudwatchlogs-resource-688d4443,UseCase,Enterprise Integration
cloudwatchlogs-resource-688d4443,DataClassification,internal
cloudwatchlogs-resource-688d4443,BackupFrequency,monthly
cloudwatchlogs-resource-688d4443,AutoShutdown,weekends
cloudwatchlogs-resource-688d4443,Compliance:PCI,out-of-scope
cloudwatchlogs-resource-688d4443,Compliance:GDPR,in-scope
cloudwatchlogs-resource-688d4443,Compliance:SOX,in-scope
cloudwatchlogs-resource-688d4443,IaC,true
cloudwatchlogs-resource-688d4443,AllowSpotInstance,false
cloudwatchlogs-resource-688d4443,ScheduledDowntime,never
cloudwatchlogs-resource-688d4443,Rightsizing,oversized
cloudwatchlogs-resource-688d4443,CostAllocation,Shared
cloudwatchlogs-resource-688d4443,AllocationMethod,proportional
cloudwatchlogs-resource-688d4443,ChargebackEntity,Pharma
cloudwatchlogs-resource-688d4443,ShowbackCategory,Production
cloudwatchlogs-resource-d0264136,Name,HealthcareDataInteroperabilityHub-CloudWatchLogs
cloudwatchlogs-resource-d0264136,Project,HealthcareDataInteroperabilityHub
cloudwatchlogs-resource-d0264136,BusinessUnit,Pharma
cloudwatchlogs-resource-d0264136,Environment,Production
cloudwatchlogs-resource-d0264136,CostCenter,Pharma-9785
cloudwatchlogs-resource-d0264136,UseCase,Enterprise Integration
cloudwatchlogs-resource-d0264136,BackupFrequency,weekly
cloudwatchlogs-resource-d0264136,Owner,john.doe@example.com
cloudwatchlogs-resource-d0264136,Compliance:HIPAA,required
cloudwatchlogs-resource-d0264136,IaC,true
cloudwatchlogs-resource-d0264136,CreatedBy,Terraform
cloudwatchlogs-resource-d0264136,ScheduledDowntime,never
cloudwatchlogs-resource-d0264136,BudgetAlert,medium
cloudwatchlogs-resource-d0264136,OptimizationPriority,availability
cloudwatchlogs-resource-d0264136,ServiceTier,cloudwatchlogs-basic
cloudwatchlogs-resource-d0264136,CostAllocation,Shared
cloudwatchlogs-resource-d0264136,AllocationMethod,proportional
cloudwatchlogs-resource-d0264136,ChargebackEntity,Pharma
cloudwatchlogs-resource-d0264136,ShowbackCategory,Production
cloudwatchlogs-resource-a3d70c4d,Name,HealthcareDataInteroperabilityHub-CloudWatchLogs
cloudwatchlogs-resource-a3d70c4d,Project,HealthcareDataInteroperabilityHub
cloudwatchlogs-resource-a3d70c4d,BusinessUnit,Pharma
cloudwatchlogs-resource-a3d70c4d,Environment,Production
cloudwatchlogs-resource-a3d70c4d,CostCenter,Pharma-2169
cloudwatchlogs-resource-a3d70c4d,UseCase,Enterprise Integration
cloudwatchlogs-resource-a3d70c4d,AutoShutdown,false
cloudwatchlogs-resource-a3d70c4d,DataClassification,confidential
cloudwatchlogs-resource-a3d70c4d,Version,1.0
cloudwatchlogs-resource-a3d70c4d,Compliance:HIPAA,not-required
cloudwatchlogs-resource-a3d70c4d,Compliance:SOX,in-scope
cloudwatchlogs-resource-a3d70c4d,Compliance:GDPR,in-scope
cloudwatchlogs-resource-a3d70c4d,DeploymentGroup,canary
cloudwatchlogs-resource-a3d70c4d,OptimizationPriority,balanced
cloudwatchlogs-resource-a3d70c4d,ServiceTier,cloudwatchlogs-enterprise
cloudwatchlogs-resource-a3d70c4d,Team,Infrastructure
cloudwatchlogs-resource-a3d70c4d,CostAllocation,Shared
cloudwatchlogs-resource-a3d70c4d,AllocationMethod,proportional
cloudwatchlogs-resource-a3d70c4d,ChargebackEntity,Pharma
cloudwatchlogs-resource-a3d70c4d,ShowbackCategory,Production
appsync-resource-a509521a,Name,HealthcareDataInteroperabilityHub-AppSync
appsync-resource-a509521a,Project,HealthcareDataInteroperabilityHub
appsync-resource-a509521a,BusinessUnit,Pharma
appsync-resource-a509521a,Environment,Production
appsync-resource-a509521a,CostCenter,Pharma-1188
appsync-resource-a509521a,UseCase,Enterprise Integration
appsync-resource-a509521a,Version,latest
appsync-resource-a509521a,DataClassification,internal
appsync-resource-a509521a,Department,IT
appsync-resource-a509521a,ComplianceStatus,compliant
appsync-resource-a509521a,Compliance:SOX,out-of-scope
appsync-resource-a509521a,Compliance:PCI,in-scope
appsync-resource-a509521a,ManagedBy,DevOps
appsync-resource-a509521a,IaC,true
appsync-resource-a509521a,Rightsizing,optimized
appsync-resource-a509521a,BudgetAlert,low
appsync-resource-a509521a,OptimizationPriority,availability
appsync-resource-a509521a,CostAllocation,Direct
appsync-resource-a509521a,ChargebackEntity,Pharma
appsync-resource-a509521a,ShowbackCategory,Production
appsync-resource-e75c2ef2,Name,HealthcareDataInteroperabilityHub-AppSync
appsync-resource-e75c2ef2,Project,HealthcareDataInteroperabilityHub
appsync-resource-e75c2ef2,BusinessUnit,Pharma
appsync-resource-e75c2ef2,Environment,Production
appsync-resource-e75c2ef2,CostCenter,Pharma-6038
appsync-resource-e75c2ef2,UseCase,Enterprise Integration
appsync-resource-e75c2ef2,DataClassification,restricted
appsync-resource-e75c2ef2,SecurityLevel,medium
appsync-resource-e75c2ef2,ManagedBy,Platform
appsync-resource-e75c2ef2,Rightsizing,pending-review
appsync-resource-e75c2ef2,ServiceTier,appsync-enterprise
appsync-resource-e75c2ef2,CostAllocation,Direct
appsync-resource-e75c2ef2,ChargebackEntity,Pharma
appsync-resource-e75c2ef2,ShowbackCategory,Production
appsync-resource-69542552,Name,HealthcareDataInteroperabilityHub-AppSync
appsync-resource-69542552,Project,HealthcareDataInteroperabilityHub
appsync-resource-69542552,BusinessUnit,Pharma
appsync-resource-69542552,Environment,Production
appsync-resource-69542552,CostCenter,Pharma-9835
appsync-resource-69542552,UseCase,Enterprise Integration
appsync-resource-69542552,DataClassification,restricted
appsync-resource-69542552,Version,1.0
appsync-resource-69542552,AutoShutdown,false
appsync-resource-69542552,Compliance:HIPAA,required
appsync-resource-69542552,Compliance:SOX,in-scope
appsync-resource-69542552,ComplianceStatus,compliant
appsync-resource-69542552,CreatedBy,CloudFormation
appsync-resource-69542552,DeploymentGroup,blue
appsync-resource-69542552,AllowSpotInstance,true
appsync-resource-69542552,BudgetAlert,medium
appsync-resource-69542552,ServiceTier,appsync-enterprise
appsync-resource-69542552,Team,Infrastructure
appsync-resource-69542552,CostAllocation,Direct
appsync-resource-69542552,ChargebackEntity,Pharma
appsync-resource-69542552,ShowbackCategory,Production
apigateway-resource-d9ce61d5,Name,HealthcareDataInteroperabilityHub-APIGateway
apigateway-resource-d9ce61d5,Project,HealthcareDataInteroperabilityHub
apigateway-resource-d9ce61d5,BusinessUnit,Pharma
apigateway-resource-d9ce61d5,Environment,Production
apigateway-resource-d9ce61d5,CostCenter,Pharma-6147
apigateway-resource-d9ce61d5,UseCase,Enterprise Integration
apigateway-resource-d9ce61d5,DataClassification,confidential
apigateway-resource-d9ce61d5,Department,Operations
apigateway-resource-d9ce61d5,Compliance:HIPAA,not-required
apigateway-resource-d9ce61d5,ComplianceStatus,compliant
apigateway-resource-d9ce61d5,CreatedBy,CLI
apigateway-resource-d9ce61d5,OptimizationPriority,availability
apigateway-resource-d9ce61d5,BudgetAlert,low
apigateway-resource-d9ce61d5,AllowSpotInstance,true
apigateway-resource-d9ce61d5,ServiceTier,apigateway-premium
apigateway-resource-d9ce61d5,Team,DataEngineering
apigateway-resource-d9ce61d5,CostAllocation,Direct
apigateway-resource-d9ce61d5,ChargebackEntity,Pharma
apigateway-resource-d9ce61d5,ShowbackCategory,Production
apigateway-resource-d3b98516,Name,HealthcareDataInteroperabilityHub-APIGateway
apigateway-resource-d3b98516,Project,HealthcareDataInteroperabilityHub
apigateway-resource-d3b98516,BusinessUnit,Pharma
apigateway-resource-d3b98516,Environment,Production
apigateway-resource-d3b98516,CostCenter,Pharma-9666
apigateway-resource-d3b98516,UseCase,Enterprise Integration
apigateway-resource-d3b98516,Version,1.0
apigateway-resource-d3b98516,Owner,jane.smith@example.com
apigateway-resource-d3b98516,Compliance:SOX,out-of-scope
apigateway-resource-d3b98516,ComplianceStatus,non-compliant
apigateway-resource-d3b98516,Compliance:PCI,out-of-scope
apigateway-resource-d3b98516,DeploymentGroup,main
apigateway-resource-d3b98516,BudgetAlert,low
apigateway-resource-d3b98516,ServiceTier,apigateway-enterprise
apigateway-resource-d3b98516,CostAllocation,Direct
apigateway-resource-d3b98516,ChargebackEntity,Pharma
apigateway-resource-d3b98516,ShowbackCategory,Production
apigateway-resource-12f1354a,Name,HealthcareDataInteroperabilityHub-APIGateway
apigateway-resource-12f1354a,Project,HealthcareDataInteroperabilityHub
apigateway-resource-12f1354a,BusinessUnit,Pharma
apigateway-resource-12f1354a,Environment,Production
apigateway-resource-12f1354a,CostCenter,Pharma-1722
apigateway-resource-12f1354a,UseCase,Enterprise Integration
apigateway-resource-12f1354a,DataClassification,restricted
apigateway-resource-12f1354a,Owner,cloud-admin@example.com
apigateway-resource-12f1354a,Department,IT
apigateway-resource-12f1354a,Compliance:HIPAA,required
apigateway-resource-12f1354a,ManagedBy,SRE
apigateway-resource-12f1354a,CreatedBy,CLI
apigateway-resource-12f1354a,Rightsizing,pending-review
apigateway-resource-12f1354a,ServiceTier,apigateway-standard
apigateway-resource-12f1354a,Team,DevOps
apigateway-resource-12f1354a,CostAllocation,Direct
apigateway-resource-12f1354a,ChargebackEntity,Pharma
apigateway-resource-12f1354a,ShowbackCategory,Production
i-34ae2cec,Name,HealthcareDataInteroperabilityHub-EC2
i-34ae2cec,Project,HealthcareDataInteroperabilityHub
i-34ae2cec,BusinessUnit,Pharma
i-34ae2cec,Environment,Production
i-34ae2cec,CostCenter,Pharma-6143
i-34ae2cec,UseCase,Enterprise Integration
i-34ae2cec,Version,latest
i-34ae2cec,AutoShutdown,weekends
i-34ae2cec,DataClassification,internal
i-34ae2cec,Compliance:GDPR,out-of-scope
i-34ae2cec,ComplianceStatus,under-review
i-34ae2cec,Compliance:PCI,in-scope
i-34ae2cec,IaC,true
i-34ae2cec,DeploymentGroup,main
i-34ae2cec,Rightsizing,exempt
i-34ae2cec,BudgetAlert,exempt
i-34ae2cec,OptimizationPriority,performance
i-34ae2cec,AMI,ami-custom
i-34ae2cec,InstanceType,c5.2xlarge
i-34ae2cec,PatchGroup,group1
i-34ae2cec,CostAllocation,Direct
i-34ae2cec,ChargebackEntity,Pharma
i-34ae2cec,ShowbackCategory,Production
i-21a6058c,Name,HealthcareDataInteroperabilityHub-EC2
i-21a6058c,Project,HealthcareDataInteroperabilityHub
i-21a6058c,BusinessUnit,Pharma
i-21a6058c,Environment,Production
i-21a6058c,CostCenter,Pharma-4680
i-21a6058c,UseCase,Enterprise Integration
i-21a6058c,AutoShutdown,true
i-21a6058c,Department,Marketing
i-21a6058c,ComplianceStatus,non-compliant
i-21a6058c,AutoScaling,disabled
i-21a6058c,ScheduledDowntime,nights
i-21a6058c,InstanceType,c5.xlarge
i-21a6058c,PatchGroup,standard
i-21a6058c,ServiceTier,ec2-enterprise
i-21a6058c,Team,Application
i-21a6058c,CostAllocation,Direct
i-21a6058c,ChargebackEntity,Pharma
i-21a6058c,ShowbackCategory,Production
i-8f452281,Name,HealthcareDataInteroperabilityHub-EC2
i-8f452281,Project,HealthcareDataInteroperabilityHub
i-8f452281,BusinessUnit,Pharma
i-8f452281,Environment,Production
i-8f452281,CostCenter,Pharma-8478
i-8f452281,UseCase,Enterprise Integration
i-8f452281,BackupFrequency,none
i-8f452281,Department,Marketing
i-8f452281,Owner,jane.smith@example.com
i-8f452281,ComplianceStatus,exempted
i-8f452281,Compliance:GDPR,in-scope
i-8f452281,SecurityLevel,high
i-8f452281,DeploymentGroup,green
i-8f452281,AutoScaling,disabled
i-8f452281,ScheduledDowntime,never
i-8f452281,AllowSpotInstance,true
i-8f452281,AutoShutdown,false
i-8f452281,AMI,ami-87654321
i-8f452281,InstanceType,t2.large
i-8f452281,ServiceTier,ec2-premium
i-8f452281,CostAllocation,Direct
i-8f452281,ChargebackEntity,Pharma
i-8f452281,ShowbackCategory,Production
dynamodb-table-b043549d,Name,HealthcareDataInteroperabilityHub-DynamoDB
dynamodb-table-b043549d,Project,HealthcareDataInteroperabilityHub
dynamodb-table-b043549d,BusinessUnit,Pharma
dynamodb-table-b043549d,Environment,Production
dynamodb-table-b043549d,CostCenter,Pharma-2874
dynamodb-table-b043549d,UseCase,Enterprise Integration
dynamodb-table-b043549d,BackupFrequency,hourly
dynamodb-table-b043549d,Compliance:HIPAA,not-required
dynamodb-table-b043549d,SecurityLevel,critical
dynamodb-table-b043549d,ComplianceStatus,under-review
dynamodb-table-b043549d,ManagedBy,Manual
dynamodb-table-b043549d,CreatedBy,SDK
dynamodb-table-b043549d,OptimizationPriority,availability
dynamodb-table-b043549d,AllowSpotInstance,true
dynamodb-table-b043549d,BackupPlan,continuous
dynamodb-table-b043549d,ServiceTier,dynamodb-standard
dynamodb-table-b043549d,Team,Analytics
dynamodb-table-b043549d,CostAllocation,Shared
dynamodb-table-b043549d,AllocationMethod,direct
dynamodb-table-b043549d,ChargebackEntity,Pharma
dynamodb-table-b043549d,ShowbackCategory,Production
dynamodb-table-baf6aba0,Name,HealthcareDataInteroperabilityHub-DynamoDB
dynamodb-table-baf6aba0,Project,HealthcareDataInteroperabilityHub
dynamodb-table-baf6aba0,BusinessUnit,Pharma
dynamodb-table-baf6aba0,Environment,Production
dynamodb-table-baf6aba0,CostCenter,Pharma-1207
dynamodb-table-baf6aba0,UseCase,Enterprise Integration
dynamodb-table-baf6aba0,DataClassification,internal
dynamodb-table-baf6aba0,AutoShutdown,nights
dynamodb-table-baf6aba0,Owner,team-devops@example.com
dynamodb-table-baf6aba0,SecurityLevel,critical
dynamodb-table-baf6aba0,ComplianceStatus,under-review
dynamodb-table-baf6aba0,AutoScaling,disabled
dynamodb-table-baf6aba0,IaC,true
dynamodb-table-baf6aba0,AllowSpotInstance,false
dynamodb-table-baf6aba0,BudgetAlert,medium
dynamodb-table-baf6aba0,TTL,disabled
dynamodb-table-baf6aba0,BillingMode,PROVISIONED
dynamodb-table-baf6aba0,TableClass,StandardInfrequentAccess
dynamodb-table-baf6aba0,BackupPlan,weekly
dynamodb-table-baf6aba0,ServiceTier,dynamodb-basic
dynamodb-table-baf6aba0,Team,DataEngineering
dynamodb-table-baf6aba0,CostAllocation,Shared
dynamodb-table-baf6aba0,AllocationMethod,direct
dynamodb-table-baf6aba0,ChargebackEntity,Pharma
dynamodb-table-baf6aba0,ShowbackCategory,Production
dynamodb-table-2da0d127,Name,HealthcareDataInteroperabilityHub-DynamoDB
dynamodb-table-2da0d127,Project,HealthcareDataInteroperabilityHub
dynamodb-table-2da0d127,BusinessUnit,Pharma
dynamodb-table-2da0d127,Environment,Production
dynamodb-table-2da0d127,CostCenter,Pharma-1166
dynamodb-table-2da0d127,UseCase,Enterprise Integration
dynamodb-table-2da0d127,AutoShutdown,nights
dynamodb-table-2da0d127,DataClassification,restricted
dynamodb-table-2da0d127,Department,Operations
dynamodb-table-2da0d127,Compliance:HIPAA,not-required
dynamodb-table-2da0d127,ComplianceStatus,non-compliant
dynamodb-table-2da0d127,AutoScaling,enabled
dynamodb-table-2da0d127,BudgetAlert,high
dynamodb-table-2da0d127,Rightsizing,exempt
dynamodb-table-2da0d127,OptimizationPriority,availability
dynamodb-table-2da0d127,TTL,disabled
dynamodb-table-2da0d127,BillingMode,PROVISIONED
dynamodb-table-2da0d127,BackupPlan,daily
dynamodb-table-2da0d127,ServiceTier,dynamodb-basic
dynamodb-table-2da0d127,Team,Infrastructure
dynamodb-table-2da0d127,CostAllocation,Shared
dynamodb-table-2da0d127,AllocationMethod,direct
dynamodb-table-2da0d127,ChargebackEntity,Pharma
dynamodb-table-2da0d127,ShowbackCategory,Production
elasticsearch-resource-9109e36f,Name,HealthcareDataInteroperabilityHub-ElasticSearch
elasticsearch-resource-9109e36f,Project,HealthcareDataInteroperabilityHub
elasticsearch-resource-9109e36f,BusinessUnit,Pharma
elasticsearch-resource-9109e36f,Environment,Production
elasticsearch-resource-9109e36f,CostCenter,Pharma-8708
elasticsearch-resource-9109e36f,UseCase,Enterprise Integration
elasticsearch-resource-9109e36f,AutoShutdown,nights
elasticsearch-resource-9109e36f,DataClassification,confidential
elasticsearch-resource-9109e36f,Department,Finance
elasticsearch-resource-9109e36f,ComplianceStatus,non-compliant
elasticsearch-resource-9109e36f,Compliance:HIPAA,not-required
elasticsearch-resource-9109e36f,AutoScaling,disabled
