cloud,multi_cloud_project,date,service,resource_id,cost,account_id,region,usage_quantity,usage_unit
aws,CloudExpansionMediaServices,2025-03-20,EC2,i-f8608375,9822.292115737424,444400000005,us-gov-east-1,213950.90240054578,Hrs
aws,CloudExpansionMediaServices,2025-03-20,EC2,i-f8608375,4911.146057868712,444400000005,us-gov-east-1,107617.31656078565,Hrs
aws,CloudExpansionMediaServices,2025-03-20,EC2,i-e2ebdb47,4911.146057868712,444400000005,us-gov-east-1,106427.37001131235,Hrs
aws,CloudExpansionMediaServices,2025-03-20,EC2,i-f8608375,2455.573028934356,333300000005,us-gov-east-1,47022.7832084293,Hrs
aws,CloudExpansionMediaServices,2025-03-20,EC2,i-f8608375,1841.679771700767,333300000005,us-gov-east-1,35837.670199729946,Hrs
aws,CloudExpansionMediaServices,2025-03-20,EC2,i-f8608375,1381.2598287755754,333300000005,us-gov-east-1,26167.031032927294,Hrs
aws,CloudExpansionMediaServices,2025-03-20,EC2,i-f8608375,1035.9448715816816,333300000005,us-gov-east-1,21302.67260304667,Hrs
aws,CloudExpansionMediaServices,2025-03-20,EC2,i-e2ebdb47,3107.8346147450447,333300000005,us-gov-east-1,62331.33893075589,Hrs
aws,CloudExpansionMediaServices,2025-03-20,S3,my-s3-bucket-edb2a099,132.00951479567266,444400000005,us-gov-east-1,5644.5157696755805,GB-Month
aws,CloudExpansionMediaServices,2025-03-20,S3,my-s3-bucket-edb2a099,44.003171598557536,444400000005,us-gov-east-1,2088.5751235203084,GB-Month
aws,CloudExpansionMediaServices,2025-03-20,S3,my-s3-bucket-edb2a099,36.669309665464624,444400000005,us-gov-east-1,1625.6023495134693,GB-Month
aws,CloudExpansionMediaServices,2025-03-20,S3,my-s3-bucket-303ab986,183.3465483273231,444400000005,us-gov-east-1,7840.384474134851,GB-Month
aws,CloudExpansionMediaServices,2025-03-20,S3,my-s3-bucket-edb2a099,99.00713609675448,333300000005,us-gov-east-1,4647.777191398831,GB-Month
aws,CloudExpansionMediaServices,2025-03-20,S3,my-s3-bucket-edb2a099,49.50356804837724,333300000005,us-gov-east-1,2101.408038885896,GB-Month
aws,CloudExpansionMediaServices,2025-03-20,S3,my-s3-bucket-303ab986,16.50118934945908,333300000005,us-gov-east-1,739.7831594166637,GB-Month
aws,CloudExpansionMediaServices,2025-03-20,S3,my-s3-bucket-303ab986,11.00079289963939,333300000005,us-gov-east-1,474.1965814700727,GB-Month
aws,CloudExpansionMediaServices,2025-03-20,S3,my-s3-bucket-303ab986,7.333861933092925,333300000005,us-gov-east-1,315.4190423774842,GB-Month
aws,CloudExpansionMediaServices,2025-03-20,S3,my-s3-bucket-35143a1b,14.667723866185849,333300000005,us-gov-east-1,684.9256365620028,GB-Month
aws,CloudExpansionMediaServices,2025-03-20,MediaConvert,mediaconvert-resource-d8c238e0,13.070248989670558,444400000005,us-gov-east-1,1887.9423875711154,Minutes
aws,CloudExpansionMediaServices,2025-03-20,MediaConvert,mediaconvert-resource-d8c238e0,21.783748316117595,444400000005,us-gov-east-1,2943.015753359321,Minutes
aws,CloudExpansionMediaServices,2025-03-20,MediaConvert,mediaconvert-resource-d8c238e0,14.52249887741173,444400000005,us-gov-east-1,1907.1206557083663,Minutes
aws,CloudExpansionMediaServices,2025-03-20,MediaConvert,mediaconvert-resource-4371384d,14.522498877411731,444400000005,us-gov-east-1,2118.5385996530154,Minutes
aws,CloudExpansionMediaServices,2025-03-20,MediaConvert,mediaconvert-resource-4371384d,0.7261249438705866,444400000005,us-gov-east-1,1.0,Minutes
aws,CloudExpansionMediaServices,2025-03-20,MediaConvert,mediaconvert-resource-6d04ebc5,4.598791311180381,444400000005,us-gov-east-1,639.299687872768,Minutes
aws,CloudExpansionMediaServices,2025-03-20,MediaConvert,mediaconvert-resource-6d04ebc5,3.065860874120254,444400000005,us-gov-east-1,378.3047959273469,Minutes
